,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
3002,Renault,Duster,Renault Duster,RXS CVT,8.5,2017-06-01,6,2017,36762.0,Petrol,13.6,Automatic,White,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
3366,Volkswagen,Polo,Volkswagen Polo,Comfortline 1.2L (P),5.2,2015-06-01,6,2015,89579.0,Petrol,16.47,Manual,Silver,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
4627,Volkswagen,Polo,Volkswagen Polo,GT TSI,3.95,2013-06-01,6,2013,86000.0,Petrol,17.89,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4545,MarutiSuzuki,Celerio,MarutiSuzuki Celerio,VXi [2017-2019],4.98,2018-06-01,6,2018,70000.0,Petrol,23.1,Manual,Maroon,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
3671,Mercedes-Benz,GLE,Mercedes-Benz GLE,250 d,46.5,2017-06-01,6,2017,53500.0,Diesel,17.76,Automatic,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
5141,Skoda,Laura,Skoda Laura,Ambiente 2.0 TDI CR MT,3.75,2011-06-01,6,2011,80000.0,Diesel,12.8,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
1500,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E 250 CDI Edition E,32.0,2016-06-01,6,2016,38000.0,Diesel,14.2,Automatic,Brown,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
3109,Honda,City,Honda City,ZX Petrol [2019-2019],11.41,2019-05-01,5,2019,96695.0,Petrol,17.4,Manual,White,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
883,Chevrolet,Beat,Chevrolet Beat,LS Petrol,2.25,2013-06-01,6,2013,42000.0,Petrol,23.1,Manual,Maroon,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
534,Tata,Harrier,Tata Harrier,XT [2019-2020],19.85,2022-01-01,1,2022,2447.0,Diesel,15.75,Manual,White,First,4.8,4.6,5.0,5.0,4.3,5.0,5.0,4.8,5.0
2691,Skoda,Superb,Skoda Superb,Elegance 2.0 TDI CR AT,5.75,2012-06-01,6,2012,53422.0,Diesel,17.2,Automatic,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
5169,Audi,Q7,Audi Q7,3.0 TFSI quattro,18.0,2013-06-01,6,2013,100000.0,Petrol,8.6,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3876,Honda,Amaze,Honda Amaze,1.2 E i-VTEC,3.95,2014-04-01,4,2014,62600.0,Petrol,17.8,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
2747,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E 220 d Avantgarde,49.9,2018-06-01,6,2018,30000.0,Diesel,12.06,Automatic,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
2546,MarutiSuzuki,Vitara Brezza,MarutiSuzuki Vitara Brezza,ZDi,8.5,2018-03-01,3,2018,62697.0,Diesel,24.29,Manual,Red,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.7
2119,Hyundai,i20,Hyundai i20,Magna 1.4 CRDI,2.38,2010-01-01,1,2010,72000.0,Diesel,18.86,Manual,Brown,Second,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
789,Audi,A3,Audi A3,35 TFSI Premium Plus,27.85,2019-09-01,9,2019,9000.0,Petrol,19.2,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4338,Mercedes-Benz,AMG GLA 35,Mercedes-Benz AMG GLA 35,4MATIC,72.0,2021-06-01,6,2021,3000.0,Petrol,17.76,Automatic,Silver,UnRegistered Car,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
2674,Honda,WR-V,Honda WR-V,VX MT Petrol,7.35,2017-08-01,8,2017,19956.0,Petrol,17.5,Manual,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.6
976,BMW,6-Series GT,BMW 6-Series GT,630i Luxury Line,68.0,2021-05-01,5,2021,7800.0,Petrol,13.32,Automatic,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2858,Hyundai,Eon,Hyundai Eon,Era +,3.61,2018-05-01,5,2018,35055.0,Petrol,21.1,Manual,Red,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
2367,Skoda,Superb,Skoda Superb,L&K TSI AT,36.5,2021-01-01,1,2021,25000.0,Petrol,14.81,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
2152,MarutiSuzuki,Alto,MarutiSuzuki Alto,LXi BS-III,1.55,2010-10-01,10,2010,83000.0,Petrol,14.54,Manual,White,Second,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
1938,Volvo,XC90,Volvo XC90,D5 AWD,49.0,2017-06-01,6,2017,70000.0,Diesel,14.7,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
4687,Mercedes-Benz,GLE,Mercedes-Benz GLE,300d 4MATIC LWB,85.0,2020-06-01,6,2020,15000.0,Diesel,17.76,Automatic,Blue,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
1514,Kia,Seltos,Kia Seltos,GTX Plus AT 1.4 [2019-2020],18.0,2019-06-01,6,2019,19500.0,Petrol,16.5,Automatic,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
4330,Hyundai,Venue,Hyundai Venue,S 1.0 Turbo DCT,11.45,2021-06-01,6,2021,15000.0,Petrol,18.15,Automatic,Grey,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
2239,Honda,Amaze,Honda Amaze,1.5 S i-DTEC,5.25,2014-02-01,2,2014,49500.0,Diesel,25.8,Manual,Red,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
3100,MarutiSuzuki,Ignis,MarutiSuzuki Ignis,Delta 1.2 MT,5.37,2018-05-01,5,2018,33355.0,Petrol,20.8,Manual,Blue,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
1419,Hyundai,i10,Hyundai i10,Magna 1.1 LPG,3.5,2014-06-01,6,2014,53508.0,LPG,18.0,Manual,Grey,First,3.9,4.5,5.0,5.0,3.6,4.5,2.3,4.7,2.0
4957,MarutiSuzuki,S-Presso,MarutiSuzuki S-Presso,VXi,4.5,2021-06-01,6,2021,4500.0,Petrol,21.7,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
1399,Honda,City,Honda City,SV,5.8,2014-06-01,6,2014,79523.0,Petrol,15.84,Manual,Silver,First,3.9,4.5,5.0,5.0,3.6,4.5,2.3,4.7,2.0
5272,Porsche,Cayenne,Porsche Cayenne,Turbo,78.0,2015-12-01,12,2015,12000.0,Petrol,9.52,Automatic,Blue,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
228,MarutiSuzuki,Wagon R,MarutiSuzuki Wagon R,VXI,4.49,2018-06-01,6,2018,22923.0,Petrol,20.5,Manual,Blue,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
4695,Toyota,Innova,Toyota Innova,GX 2.4 AT 7 STR,23.99,2022-06-01,6,2022,700.0,Diesel,15.6,Automatic,Grey,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
4972,BMW,3-Series,BMW 3-Series,320d Luxury Line,44.0,2020-06-01,6,2020,27000.0,Diesel,22.69,Automatic,Blue,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
741,Hyundai,Elite i20,Hyundai Elite i20,Sportz 1.2,8.29,2019-06-01,6,2019,15750.0,Petrol,19.8,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3301,Hyundai,Elite i20,Hyundai Elite i20,Asta 1.2 (O) [2019-2020],7.07,2018-05-01,5,2018,51168.0,Petrol,19.8,Manual,Red,Second,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
594,MarutiSuzuki,S-Cross,MarutiSuzuki S-Cross,Alpha 1.6,7.35,2015-06-01,6,2015,97535.0,Diesel,22.07,Manual,Brown,Second,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.7
1060,Ford,Endeavour,Ford Endeavour,Titanium 3.2 4x4 AT,23.5,2016-06-01,6,2016,90000.0,Diesel,10.91,Automatic,White,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3626,Toyota,Innova,Toyota Innova,GX 2.4 AT 7 STR,23.99,2022-06-01,6,2022,700.0,Diesel,15.6,Automatic,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3236,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E350,9.25,2010-12-01,12,2010,55000.0,Petrol,10.93,Automatic,Maroon,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.8
4763,Mercedes-Benz,CLA,Mercedes-Benz CLA,200 CDI Sport,29.5,2019-06-01,6,2019,29000.0,Diesel,17.76,Automatic,Black,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
194,Ford,Fiesta/Classic,Ford Fiesta/Classic,1.4 TDCi CLXi,1.4,2012-06-01,6,2012,60395.0,Diesel,19.05,Manual,Grey,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
344,Skoda,Rapid,Skoda Rapid,Style 1.5 TDI,7.5,2017-06-01,6,2017,80224.0,Diesel,21.13,Manual,Grey,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
3276,Honda,CR-V,Honda CR-V,2.0L 2WD AT,14.25,2016-05-01,5,2016,42000.0,Petrol,13.7,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.8
711,Tata,Tiago,Tata Tiago,Revotron XZ,5.19,2016-06-01,6,2016,47914.0,Petrol,23.84,Manual,Red,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
118,Audi,A4,Audi A4,2.0 TDI (177bhp) Premium Plus,14.5,2014-06-01,6,2014,34947.0,Diesel,17.11,Automatic,Black,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
2806,MG,Hector,MG Hector,Sharp 2.0 Diesel [2019-2020],19.0,2020-06-01,6,2020,36000.0,Diesel,17.41,Manual,Black,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
104,Mahindra,XUV500,Mahindra XUV500,W11 (O) AWD,13.8,2018-06-01,6,2018,57224.0,Diesel,15.34,Manual,Brown,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
2126,Hyundai,Santa Fe,Hyundai Santa Fe,4 WD (AT),8.76,2014-06-01,6,2014,77000.0,Diesel,10.8,Automatic,White,Third,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
206,MarutiSuzuki,Wagon R,MarutiSuzuki Wagon R,VXI+,5.72,2020-06-01,6,2020,5447.0,Petrol,20.5,Manual,Grey,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
948,Honda,Jazz,Honda Jazz,VX Petrol,5.8,2016-01-01,1,2016,24869.0,Petrol,18.7,Manual,Red,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
371,Jaguar,F-Pace,Jaguar F-Pace,S R-Dynamic 2.0 Diesel,86.0,2021-06-01,6,2021,10130.0,Diesel,19.3,Automatic,White,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
5004,Audi,A4,Audi A4,2.0 TDI (177bhp) Premium Sport,13.99,2014-06-01,6,2014,81000.0,Diesel,17.11,Automatic,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
1069,Toyota,Innova,Toyota Innova,2.8 ZX AT 7 STR [2016-2020],18.9,2017-06-01,6,2017,95000.0,Diesel,14.29,Automatic,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4930,Toyota,Corolla Altis,Toyota Corolla Altis,1.8 G,2.9,2010-06-01,6,2010,138000.0,Petrol,9.8,Manual,Silver,Second,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
81,Ford,Ecosport,Ford Ecosport,Trend 1.5 Ti-VCT,3.79,2013-03-01,3,2013,46000.0,Petrol,15.8,Manual,Orange,First,4.7,4.5,5.0,5.0,3.6,5.0,5.0,5.0,4.4
4905,Toyota,Fortuner,Toyota Fortuner,3.0 4x2 AT,14.5,2013-06-01,6,2013,100000.0,Diesel,12.55,Automatic,White,Second,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
2134,Honda,Brio,Honda Brio,S MT,3.75,2013-10-01,10,2013,53000.0,Petrol,18.56,Automatic,White,Second,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
4948,Volvo,V40,Volvo V40,D3 R-Design,16.75,2015-08-01,8,2015,44000.0,Diesel,16.81,Automatic,Blue,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
672,Isuzu,D-Max V-Cross,Isuzu D-Max V-Cross,4x4,19.95,2019-06-01,6,2019,44639.0,Diesel,17.76,Manual,Black,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3869,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Zeta 1.2 AT,6.25,2016-03-01,3,2016,30920.0,Petrol,21.4,Automatic,Blue,Second,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.9
4392,Hyundai,Elite i20,Hyundai Elite i20,Sportz Plus 1.4 CRDi,8.5,2019-06-01,6,2019,70000.0,Diesel,22.5,Manual,Silver,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
5090,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,ZDi [2014-2015],5.75,2015-06-01,6,2015,78000.0,Diesel,21.96,Manual,Bronze,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3697,MarutiSuzuki,Ritz,MarutiSuzuki Ritz,Zxi BS-IV,2.9,2011-06-01,6,2011,49000.0,Petrol,16.55,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2052,Kia,Seltos,Kia Seltos,HTE 1.5,11.99,2019-06-01,6,2019,55392.0,Petrol,16.5,Manual,White,First,4.4,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.0
3351,Tata,Altroz,Tata Altroz,XZ Petrol,8.45,2020-06-01,6,2020,28000.0,Petrol,18.5,Manual,Red,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
4064,Tata,Safari,Tata Safari,2.2 LX 4x2,4.9,2013-06-01,6,2013,82000.0,Diesel,14.0,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
5134,MarutiSuzuki,Alto,MarutiSuzuki Alto,VXi [2014-2019],3.95,2018-06-01,6,2018,42000.0,Petrol,24.07,Manual,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
345,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E 250 CDI Edition E,28.5,2016-06-01,6,2016,72000.0,Diesel,14.2,Automatic,Brown,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
1663,LandRover,Discovery Sport,LandRover Discovery Sport,HSE Luxury,26.75,2015-06-01,6,2015,77000.0,Diesel,13.1,Automatic,Grey,Second,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
3381,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Zeta 1.2 AT,6.85,2016-06-01,6,2016,61526.0,Petrol,21.4,Automatic,Red,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
3070,Mercedes-Benz,AMG A35 Limousine,Mercedes-Benz AMG A35 Limousine,4MATIC,55.0,2021-06-01,6,2021,2000.0,Petrol,17.76,Automatic,Black,UnRegistered Car,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
4439,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Delta 1.2,6.2,2017-05-01,5,2017,43681.0,Petrol,21.4,Manual,Grey,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
2020,Mercedes-Benz,CLA,Mercedes-Benz CLA,200 CDI Style,25.0,2015-06-01,6,2015,51000.0,Diesel,17.76,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2739,Mercedes-Benz,GLC,Mercedes-Benz GLC,200 Progressive [2019-2021],62.0,2020-06-01,6,2020,14318.0,Petrol,17.76,Automatic,Bronze,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
2512,MG,Hector Plus,MG Hector Plus,Sharp 1.5 DCT Petrol,20.2,2021-01-01,1,2021,21113.0,Petrol,16.6,Automatic,Silver,First,4.7,4.5,5.0,5.0,3.6,5.0,5.0,4.7,3.8
5080,Toyota,Fortuner,Toyota Fortuner,3.0 4x2 AT,14.25,2013-06-01,6,2013,155000.0,Diesel,12.55,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
1210,Hyundai,Verna,Hyundai Verna,Fluidic CRDi 1.6 EX AT,5.25,2014-06-01,6,2014,77000.0,Diesel,19.41,Automatic,Maroon,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4999,LandRover,Evoque,LandRover Evoque,SE Dynamic,48.5,2020-06-01,6,2020,27000.0,Diesel,15.6,Automatic,Red,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
1043,Audi,A4,Audi A4,2.0 TDI (177bhp) Premium Sport,13.99,2014-06-01,6,2014,81000.0,Diesel,17.11,Automatic,White,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1863,Audi,A6,Audi A6,2.0 TDI Premium,28.0,2016-06-01,6,2016,68000.0,Diesel,16.66,Automatic,White,Second,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2138,Datsun,Go,Datsun Go,T (O),2.5,2018-07-01,7,2018,47000.0,Petrol,20.1,Manual,Grey,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
5334,Mercedes-Benz,GLS,Mercedes-Benz GLS,350 d,62.0,2016-04-01,4,2016,35500.0,Diesel,11.5,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
1330,BMW,X1,BMW X1,sDrive20d Expedition,25.5,2018-09-01,9,2018,37992.0,Diesel,15.06,Automatic,White,First,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.7,2.9
5057,Tata,Hexa,Tata Hexa,XM 4x2 7 STR,9.5,2017-06-01,6,2017,94000.0,Diesel,14.4,Manual,Brown,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
230,Honda,Jazz,Honda Jazz,X,2.85,2012-06-01,6,2012,16000.0,Petrol,16.7,Manual,White,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
1231,Hyundai,i20,Hyundai i20,Magna 1.2,1.85,2010-06-01,6,2010,67000.0,Petrol,12.4,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4988,Audi,A6,Audi A6,Technology 45 TFSI,55.0,2020-06-01,6,2020,5100.0,Petrol,16.77,Automatic,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
4852,Volkswagen,Polo,Volkswagen Polo,Highline1.2L (P),6.0,2019-06-01,6,2019,42000.0,Petrol,16.47,Manual,Grey,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
1112,Audi,A4,Audi A4,2.0 TDI Sline,12.25,2013-06-01,6,2013,90000.0,Diesel,21.19,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4492,Volkswagen,Ameo,Volkswagen Ameo,Trendline 1.0L (P),5.4,2019-05-01,5,2019,77319.0,Petrol,19.44,Manual,White,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
2157,Mahindra,Scorpio,Mahindra Scorpio,S5 2WD 7 STR,13.25,2020-06-01,6,2020,47900.0,Diesel,15.0,Manual,White,Second,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
3295,Hyundai,i20,Hyundai i20,Asta 1.4 AT with AVN,3.25,2011-11-01,11,2011,69000.0,Petrol,18.86,Automatic,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.8
3182,Hyundai,i10,Hyundai i10,Magna 1.2 Kappa2,3.37,2013-05-01,5,2013,10386.0,Petrol,20.63,Manual,Orange,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
1034,BMW,X3,BMW X3,xDrive20d,14.5,2012-06-01,6,2012,61009.0,Diesel,16.09,Automatic,White,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2994,Skoda,Rapid,Skoda Rapid,Style 1.5 TDI,7.5,2017-06-01,6,2017,80224.0,Diesel,21.13,Manual,Grey,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
2060,MarutiSuzuki,DZire,MarutiSuzuki DZire,ZXi,7.45,2018-06-01,6,2018,43571.0,Petrol,23.2,Manual,White,First,4.4,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.0
532,Hyundai,Venue,Hyundai Venue,SX 1.0 Turbo iMT,11.45,2021-06-01,6,2021,6039.0,Petrol,17.8,Manual,Blue,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,5.0
1648,Tata,Nexon,Tata Nexon,XMA Petrol,8.5,2019-06-01,6,2019,19000.0,Petrol,17.88,Automatic,White,First,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
1203,Skoda,Laura,Skoda Laura,Ambiente 2.0 TDI CR MT,3.45,2011-06-01,6,2011,91000.0,Diesel,12.8,Manual,White,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
5081,Mercedes-Benz,M-Class,Mercedes-Benz M-Class,ML 350 CDI,27.0,2014-06-01,6,2014,65000.0,Diesel,15.26,Automatic,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
1245,MarutiSuzuki,Celerio,MarutiSuzuki Celerio,VXi (O) [2017-2019],5.5,2018-10-01,10,2018,69303.0,Petrol,23.1,Manual,Red,First,4.6,4.5,5.0,5.0,3.6,4.5,5.0,4.7,3.5
1318,Mercedes-Benz,C-Coupe,Mercedes-Benz C-Coupe,43 AMG 4MATIC,70.0,2020-06-01,6,2020,7200.0,Petrol,17.76,Automatic,White,Second,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.7,2.9
3047,Mahindra,XUV500,Mahindra XUV500,W10,12.78,2017-05-01,5,2017,65318.0,Diesel,16.0,Manual,Brown,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
5051,Toyota,Etios,Toyota Etios,1.4 VD,5.6,2015-06-01,6,2015,51000.0,Diesel,23.59,Manual,Red,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
4215,Mercedes-Benz,A-Class,Mercedes-Benz A-Class,A 180 Sport Petrol,13.75,2013-06-01,6,2013,48000.0,Petrol,15.5,Automatic,White,Third,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
80,Honda,Amaze,Honda Amaze,1.2 S i-VTEC,4.0,2017-03-01,3,2017,30000.0,Petrol,17.8,Manual,Brown,First,4.7,4.5,5.0,5.0,3.6,5.0,5.0,5.0,4.4
2388,Toyota,Yaris,Toyota Yaris,VX CVT [2018-2020],10.95,2019-06-01,6,2019,20254.0,Petrol,17.8,Automatic,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
4869,Renault,Duster,Renault Duster,110 PS RxL Diesel,3.55,2013-06-01,6,2013,8700.0,Diesel,19.01,Manual,Silver,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
3165,Tata,Tiago,Tata Tiago,Revotron XZ Plus,6.3,2019-05-01,5,2019,27586.0,Petrol,23.84,Manual,Blue,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
2881,Mercedes-Benz,S-Class,Mercedes-Benz S-Class,S 350D [2018-2020],115.0,2019-06-01,6,2019,18000.0,Diesel,11.52,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
5143,MarutiSuzuki,Swift DZire,MarutiSuzuki Swift DZire,VXI,4.5,2014-06-01,6,2014,78000.0,Petrol,19.1,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
2505,Mercedes-Benz,CLA,Mercedes-Benz CLA,200 Petrol Sport,33.5,2019-05-01,5,2019,12700.0,Petrol,17.76,Automatic,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.4
1806,Audi,A6,Audi A6,2.0 TDI Premium,18.0,2014-06-01,6,2014,55000.0,Diesel,16.66,Automatic,Black,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.7
4649,Audi,A4,Audi A4,2.0 TDI Sline,12.5,2012-06-01,6,2012,100000.0,Diesel,17.39,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
909,Volkswagen,Vento,Volkswagen Vento,TSI,6.5,2016-01-01,1,2016,66585.0,Petrol,16.93,Automatic,Brown,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1223,Skoda,Rapid,Skoda Rapid,Active 1.6 TDI CR MT,2.05,2012-06-01,6,2012,67000.0,Diesel,20.5,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4998,BMW,X3,BMW X3,xDrive30d,14.5,2012-06-01,6,2012,60000.0,Diesel,16.55,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3008,Hyundai,Santro,Hyundai Santro,GLS,3.0,2012-06-01,6,2012,55612.0,Petrol,17.92,Manual,Red,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
3432,Honda,City,Honda City,ZX Petrol [2019-2019],11.41,2019-05-01,5,2019,96695.0,Petrol,17.4,Manual,White,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
781,Toyota,Innova,Toyota Innova,2.8 GX AT 7 STR [2016-2020],20.0,2019-06-01,6,2019,55900.0,Diesel,14.29,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
917,Skoda,Octavia,Skoda Octavia,Elegance 2.0 TDI AT,10.25,2014-01-01,1,2014,35000.0,Diesel,19.3,Automatic,Black,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3991,Toyota,Innova,Toyota Innova,2.8 GX AT 7 STR [2016-2020],19.0,2019-06-01,6,2019,85000.0,Diesel,14.29,Automatic,Maroon,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
