,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
745,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Zeta 1.2,5.51,2017-06-01,6,2017,37000.0,Petrol,21.4,Manual,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
563,Volkswagen,Vento,Volkswagen Vento,Highline 1.0L TSI,10.95,2020-08-01,8,2020,5669.0,Petrol,17.6,Manual,White,First,4.6,4.5,3.2,5.0,3.6,4.3,5.0,4.7,4.3
210,Volkswagen,Ameo,Volkswagen Ameo,Highline Plus 1.0L (P) 16 Alloy,6.07,2018-06-01,6,2018,8945.0,Petrol,19.44,Manual,Silver,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
4603,Toyota,Innova,Toyota Innova,GX 2.4 7 STR,17.52,2019-06-01,6,2019,55000.0,Diesel,15.6,Manual,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3636,BMW,X3,BMW X3,xDrive20d,14.5,2012-06-01,6,2012,61009.0,Diesel,16.09,Automatic,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2394,Toyota,Innova,Toyota Innova,2.5 G 7 STR BS-III,9.98,2012-06-01,6,2012,214259.0,Diesel,19.1,Manual,Grey,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.7
3566,Audi,A4,Audi A4,2.0 TDI Sline,12.5,2012-04-01,4,2012,50000.0,Diesel,17.54,Automatic,Black,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3163,Datsun,Go,Datsun Go,T,2.99,2014-04-01,4,2014,22264.0,Petrol,20.1,Manual,White,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
2212,MG,Astor,MG Astor,Sharp 1.5 CVT,16.5,2021-12-01,12,2021,4000.0,Petrol,17.76,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
2511,Ford,Figo,Ford Figo,Titanium 1.2 Ti-VCT,3.65,2015-10-01,10,2015,39728.0,Petrol,18.16,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.7
1905,Volkswagen,Polo,Volkswagen Polo,GT TSI,8.25,2018-06-01,6,2018,55000.0,Petrol,17.21,Automatic,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
4526,Mercedes-Benz,C-Class,Mercedes-Benz C-Class,C 43 AMG,52.0,2017-06-01,6,2017,33000.0,Petrol,15.85,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1286,MINI,Countryman,MINI Countryman,Cooper S [2020-2021],42.0,2020-06-01,6,2020,1400.0,Petrol,14.41,Automatic,Blue,First,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.7,2.9
4729,Audi,A3,Audi A3,35 TDI Premium + Sunroof,16.75,2015-06-01,6,2015,48000.0,Diesel,19.2,Automatic,Blue,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
2610,Jeep,Compass,Jeep Compass,Model S (O) Diesel 4x4 AT,31.75,2021-06-01,6,2021,7000.0,Diesel,17.1,Automatic,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
427,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Delta 1.2 AT,7.29,2018-05-01,5,2018,54764.0,Petrol,21.4,Automatic,Grey,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
4195,Honda,City,Honda City,ZX CVT Petrol [2017-2019],14.75,2019-06-01,6,2019,15000.0,Petrol,18.0,Automatic,Grey,First,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
1925,Jaguar,XF,Jaguar XF,2.2 Diesel,27.0,2014-06-01,6,2014,53000.0,Diesel,17.22,Automatic,Grey,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
4801,Hyundai,i20 Active,Hyundai i20 Active,1.4 SX,6.4,2015-06-01,6,2015,90000.0,Diesel,21.19,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
1501,Honda,Jazz,Honda Jazz,V AT Petrol,7.45,2017-02-01,2,2017,53664.0,Petrol,19.0,Automatic,Brown,Second,4.6,4.5,5.0,5.0,3.6,2.5,5.0,4.7,4.0
4577,Mercedes-Benz,V-Class,Mercedes-Benz V-Class,Exclusive LWB [2019-2020],82.5,2019-05-01,5,2019,4000.0,Diesel,17.76,Automatic,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2960,Toyota,Innova,Toyota Innova,2.5 G 7 STR BS-IV,8.75,2013-06-01,6,2013,123000.0,Diesel,14.21,Manual,White,First,3.9,4.5,5.0,5.0,3.6,4.5,2.3,4.7,2.0
2005,MarutiSuzuki,S-Presso,MarutiSuzuki S-Presso,VXi,4.71,2020-05-01,5,2020,21269.0,Petrol,21.7,Manual,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
3319,Toyota,Corolla Altis,Toyota Corolla Altis,1.8 G,3.7,2010-06-01,6,2010,80686.0,Petrol,9.8,Manual,White,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
3849,Hyundai,i10,Hyundai i10,1.1L iRDE Magna Special Edition,3.25,2015-06-01,6,2015,69000.0,Petrol,19.81,Manual,Grey,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.5
2753,Mercedes-Benz,GL-Class,Mercedes-Benz GL-Class,350 CDI,38.0,2015-06-01,6,2015,110300.0,Diesel,17.76,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
4373,Mahindra,XUV500,Mahindra XUV500,W10,12.78,2017-05-01,5,2017,65318.0,Diesel,16.0,Manual,Brown,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
